subjectID,menuID,taskID,Y,taskType
1,3,1,1,Risk
1,5,1,1,Risk
1,7,1,1,Risk
1,8,1,1,Risk
1,9,1,2,Risk
1,13,2,1,Risk
1,15,2,1,Risk
1,17,2,1,Risk
1,18,2,1,Risk
1,19,2,2,Risk
1,23,3,1,Risk
1,25,3,1,Risk
1,27,3,1,Risk
1,28,3,1,Risk
1,29,3,2,Risk
1,33,4,1,Risk
1,35,4,1,Risk
1,37,4,1,Risk
1,38,4,1,Risk
1,39,4,1,Risk
2,1,1,1,Risk
2,2,1,1,Risk
2,3,1,1,Risk
2,4,1,1,Risk
2,5,1,1,Risk
2,6,1,1,Risk
2,7,1,1,Risk
2,8,1,2,Risk
2,9,1,2,Risk
2,11,2,1,Risk
2,12,2,1,Risk
2,13,2,1,Risk
2,14,2,1,Risk
2,15,2,1,Risk
2,16,2,1,Risk
2,17,2,2,Risk
2,18,2,2,Risk
2,19,2,2,Risk
2,21,3,1,Risk
2,22,3,1,Risk
2,23,3,1,Risk
2,24,3,1,Risk
2,25,3,1,Risk
2,26,3,1,Risk
2,27,3,1,Risk
2,28,3,2,Risk
2,29,3,2,Risk
2,31,4,1,Risk
2,32,4,1,Risk
2,33,4,1,Risk
2,34,4,1,Risk
2,35,4,1,Risk
2,36,4,2,Risk
2,37,4,2,Risk
2,38,4,2,Risk
2,39,4,2,Risk
3,3,1,1,Risk
3,5,1,1,Risk
3,7,1,1,Risk
3,8,1,2,Risk
3,9,1,2,Risk
3,13,2,1,Risk
3,15,2,2,Risk
3,17,2,2,Risk
3,18,2,2,Risk
3,19,2,2,Risk
3,23,3,1,Risk
3,25,3,1,Risk
3,27,3,1,Risk
3,28,3,1,Risk
3,29,3,1,Risk
3,33,4,1,Risk
3,35,4,2,Risk
3,37,4,2,Risk
3,38,4,2,Risk
3,39,4,2,Risk
4,1,1,1,Risk
4,2,1,1,Risk
4,3,1,1,Risk
4,4,1,2,Risk
4,5,1,2,Risk
4,6,1,2,Risk
4,7,1,2,Risk
4,8,1,2,Risk
4,9,1,2,Risk
4,11,2,1,Risk
4,12,2,1,Risk
4,13,2,2,Risk
4,14,2,2,Risk
4,15,2,2,Risk
4,16,2,2,Risk
4,17,2,2,Risk
4,18,2,2,Risk
4,19,2,2,Risk
4,21,3,1,Risk
4,22,3,1,Risk
4,23,3,1,Risk
4,24,3,1,Risk
4,25,3,2,Risk
4,26,3,2,Risk
4,27,3,2,Risk
4,28,3,2,Risk
4,29,3,2,Risk
4,31,4,1,Risk
4,32,4,1,Risk
4,33,4,1,Risk
4,34,4,1,Risk
4,35,4,1,Risk
4,36,4,1,Risk
4,37,4,1,Risk
4,38,4,1,Risk
4,39,4,1,Risk
7,1,1,1,Risk
7,2,1,1,Risk
7,3,1,1,Risk
7,4,1,2,Risk
7,5,1,2,Risk
7,6,1,2,Risk
7,7,1,2,Risk
7,8,1,2,Risk
7,9,1,2,Risk
7,11,2,1,Risk
7,12,2,1,Risk
7,13,2,1,Risk
7,14,2,1,Risk
7,15,2,1,Risk
7,16,2,1,Risk
7,17,2,2,Risk
7,18,2,2,Risk
7,19,2,2,Risk
7,21,3,1,Risk
7,22,3,1,Risk
7,23,3,1,Risk
7,24,3,1,Risk
7,25,3,1,Risk
7,26,3,2,Risk
7,27,3,2,Risk
7,28,3,2,Risk
7,29,3,2,Risk
7,31,4,1,Risk
7,32,4,1,Risk
7,33,4,1,Risk
7,34,4,1,Risk
7,35,4,1,Risk
7,36,4,2,Risk
7,37,4,2,Risk
7,38,4,2,Risk
7,39,4,2,Risk
8,1,1,1,Risk
8,2,1,1,Risk
8,3,1,1,Risk
8,4,1,1,Risk
8,5,1,2,Risk
8,6,1,2,Risk
8,7,1,2,Risk
8,8,1,2,Risk
8,9,1,2,Risk
8,11,2,1,Risk
8,12,2,1,Risk
8,13,2,1,Risk
8,14,2,1,Risk
8,15,2,1,Risk
8,16,2,2,Risk
8,17,2,2,Risk
8,18,2,2,Risk
8,19,2,2,Risk
8,21,3,1,Risk
8,22,3,1,Risk
8,23,3,1,Risk
8,24,3,1,Risk
8,25,3,1,Risk
8,26,3,2,Risk
8,27,3,2,Risk
8,28,3,2,Risk
8,29,3,2,Risk
8,31,4,1,Risk
8,32,4,1,Risk
8,33,4,1,Risk
8,34,4,1,Risk
8,35,4,2,Risk
8,36,4,2,Risk
8,37,4,2,Risk
8,38,4,2,Risk
8,39,4,2,Risk
9,1,1,1,Risk
9,2,1,1,Risk
9,3,1,1,Risk
9,4,1,2,Risk
9,5,1,2,Risk
9,6,1,2,Risk
9,7,1,2,Risk
9,8,1,2,Risk
9,9,1,2,Risk
9,11,2,2,Risk
9,12,2,2,Risk
9,13,2,2,Risk
9,14,2,2,Risk
9,15,2,2,Risk
9,16,2,2,Risk
9,17,2,2,Risk
9,18,2,2,Risk
9,19,2,2,Risk
9,21,3,1,Risk
9,22,3,1,Risk
9,23,3,1,Risk
9,24,3,1,Risk
9,25,3,1,Risk
9,26,3,2,Risk
9,27,3,2,Risk
9,28,3,2,Risk
9,29,3,2,Risk
9,31,4,1,Risk
9,32,4,1,Risk
9,33,4,1,Risk
9,34,4,1,Risk
9,35,4,1,Risk
9,36,4,2,Risk
9,37,4,2,Risk
9,38,4,2,Risk
9,39,4,2,Risk
11,1,1,1,Risk
11,2,1,1,Risk
11,3,1,1,Risk
11,4,1,1,Risk
11,5,1,1,Risk
11,6,1,1,Risk
11,7,1,1,Risk
11,8,1,1,Risk
11,9,1,1,Risk
11,11,2,1,Risk
11,12,2,1,Risk
11,13,2,1,Risk
11,14,2,1,Risk
11,15,2,1,Risk
11,16,2,1,Risk
11,17,2,1,Risk
11,18,2,2,Risk
11,19,2,2,Risk
11,21,3,1,Risk
11,22,3,1,Risk
11,23,3,1,Risk
11,24,3,1,Risk
11,25,3,1,Risk
11,26,3,1,Risk
11,27,3,2,Risk
11,28,3,2,Risk
11,29,3,2,Risk
11,31,4,1,Risk
11,32,4,1,Risk
11,33,4,1,Risk
11,34,4,1,Risk
11,35,4,1,Risk
11,36,4,1,Risk
11,37,4,1,Risk
11,38,4,2,Risk
11,39,4,2,Risk
12,1,1,1,Risk
12,2,1,1,Risk
12,3,1,1,Risk
12,4,1,2,Risk
12,5,1,2,Risk
12,6,1,2,Risk
12,7,1,2,Risk
12,8,1,2,Risk
12,9,1,2,Risk
12,11,2,1,Risk
12,12,2,1,Risk
12,13,2,1,Risk
12,14,2,2,Risk
12,15,2,2,Risk
12,16,2,2,Risk
12,17,2,2,Risk
12,18,2,2,Risk
12,19,2,2,Risk
12,21,3,1,Risk
12,22,3,1,Risk
12,23,3,1,Risk
12,24,3,1,Risk
12,25,3,1,Risk
12,26,3,1,Risk
12,27,3,2,Risk
12,28,3,2,Risk
12,29,3,2,Risk
12,31,4,1,Risk
12,32,4,1,Risk
12,33,4,1,Risk
12,34,4,1,Risk
12,35,4,2,Risk
12,36,4,2,Risk
12,37,4,2,Risk
12,38,4,2,Risk
12,39,4,2,Risk
13,1,1,1,Risk
13,2,1,1,Risk
13,3,1,1,Risk
13,4,1,1,Risk
13,5,1,1,Risk
13,6,1,2,Risk
13,7,1,2,Risk
13,8,1,2,Risk
13,9,1,2,Risk
13,11,2,2,Risk
13,12,2,2,Risk
13,13,2,2,Risk
13,14,2,2,Risk
13,15,2,2,Risk
13,16,2,2,Risk
13,17,2,2,Risk
13,18,2,2,Risk
13,19,2,2,Risk
13,21,3,1,Risk
13,22,3,1,Risk
13,23,3,1,Risk
13,24,3,1,Risk
13,25,3,1,Risk
13,26,3,1,Risk
13,27,3,1,Risk
13,28,3,1,Risk
13,29,3,1,Risk
13,31,4,1,Risk
13,32,4,1,Risk
13,33,4,1,Risk
13,34,4,1,Risk
13,35,4,1,Risk
13,36,4,1,Risk
13,37,4,1,Risk
13,38,4,1,Risk
13,39,4,1,Risk
16,1,1,1,Risk
16,2,1,1,Risk
16,3,1,1,Risk
16,4,1,1,Risk
16,5,1,1,Risk
16,6,1,1,Risk
16,7,1,1,Risk
16,8,1,2,Risk
16,9,1,2,Risk
16,11,2,1,Risk
16,12,2,1,Risk
16,13,2,1,Risk
16,14,2,1,Risk
